,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp,Timestamp
0,1,Bitcoin,BTC,bitcoin,10849,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19645312.0,19645312.0,False,,1,,,,2024-03-05T13:20:00.000Z,67956.95041339943,77011070386.29262,75.777,1.38850569,3.97327043,18.80959969,58.03764257,54.26420898,54.41368177,1335035493439.761,52.5955,1427095958681.39,,2024-03-05T13:20:00.000Z,,,,,,2024-03-05 13:21:44.396853,
1,1027,Ethereum,ETH,ethereum,8499,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120127131.78995213,120127131.78995213,True,,2,,,,2024-03-05T13:20:00.000Z,3768.714756309649,33032808047.990616,85.3292,0.39011962,7.19377499,14.9543982,63.55488964,67.29975994,66.6154028,452724894209.94653,17.8177,452724894209.95,,2024-03-05T13:20:00.000Z,,,,,,2024-03-05 13:21:44.396853,
2,825,Tether USDt,USDT,tether,76969,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,100044694548.97124,103800078701.87814,True,,3,,,,2024-03-05T13:19:00.000Z,1.0006432742980158,140334718617.92456,60.3953,0.00948623,0.0175084,0.01597403,0.08717502,-0.03159539,0.05456646,100109050729.62743,3.94,103866850624.64,,2024-03-05T13:19:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-03-05 13:21:44.396853,
3,1839,BNB,BNB,bnb,2082,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149541361.64952964,149541361.64952964,False,,4,,,,2024-03-05T13:19:00.000Z,421.7532991187368,2518644890.7187023,41.5655,0.37767252,0.63495492,5.58510093,40.55523002,32.26397385,82.93618882,63069562630.39726,2.4847,63069562630.4,,2024-03-05T13:19:00.000Z,,,,,,2024-03-05 13:21:44.396853,
4,5426,Solana,SOL,solana,633,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,442315217.4689424,571041275.3033756,True,,5,,,,2024-03-05T13:20:00.000Z,132.41787164017722,4714200532.670732,46.2627,0.46519139,-0.45233172,19.93537849,35.37673098,30.72904753,109.23393508,58570439691.29949,2.3075,75616070294.37,,2024-03-05T13:20:00.000Z,,,,,,2024-03-05 13:21:44.396853,
0,1,Bitcoin,BTC,bitcoin,10849,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19645312.0,19645312.0,False,,1,,,,2024-03-05T13:21:00.000Z,67930.10079885366,77044499129.23776,75.8603,1.33059195,3.93493598,18.81766825,57.98535344,54.23519945,54.43497238,1334508024384.9294,52.5747,1426532116775.93,,2024-03-05T13:21:00.000Z,,,,,,,2024-03-05 13:21:53.593471
1,1027,Ethereum,ETH,ethereum,8499,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120127131.78995213,120127131.78995213,True,,2,,,,2024-03-05T13:21:00.000Z,3772.060448222264,33039092576.33953,85.3861,0.25364137,7.33257613,15.09103448,63.70570434,67.4688511,66.80329378,453126802583.2618,17.8335,453126802583.26,,2024-03-05T13:21:00.000Z,,,,,,,2024-03-05 13:21:53.593471
2,825,Tether USDt,USDT,tether,76969,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,100044694548.97124,103800078701.87814,True,,3,,,,2024-03-05T13:20:00.000Z,1.0006938467946906,140480843253.92874,60.4666,0.02806939,0.02496117,0.02924342,0.09997073,-0.031914,0.05800079,100114110239.60985,3.9401,103872100053.77,,2024-03-05T13:20:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,,2024-03-05 13:21:53.593471
3,1839,BNB,BNB,bnb,2082,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149541361.64952964,149541361.64952964,False,,4,,,,2024-03-05T13:20:00.000Z,421.57883208913506,2520389392.7408304,41.5801,0.36255912,0.59702156,5.53199298,40.526684,32.20922006,82.82971864,63043472593.22768,2.4837,63043472593.23,,2024-03-05T13:20:00.000Z,,,,,,,2024-03-05 13:21:53.593471
4,5426,Solana,SOL,solana,633,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,442315217.4689424,571041275.3033756,True,,5,,,,2024-03-05T13:21:00.000Z,132.40673492353335,4716716319.79141,46.4006,0.39020013,-0.49059053,19.93711747,35.37363539,30.70326575,109.33194392,58565513752.05527,2.3073,75609710769.49,,2024-03-05T13:21:00.000Z,,,,,,,2024-03-05 13:21:53.593471
5,52,XRP,XRP,xrp,1239,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54664031281.0,99987852435.0,False,,6,,,,2024-03-05T13:21:00.000Z,0.6536877062230046,3917889697.1135473,43.8676,0.27543778,-0.43957001,17.047688,27.54775294,14.17729822,4.59599975,35733205220.97946,1.4061,65368770622.3,,2024-03-05T13:21:00.000Z,,,,,,,2024-03-05 13:21:53.593471
6,3408,USDC,USDC,usd-coin,17026,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,28906133249.68503,28906133249.68503,False,,7,,,,2024-03-05T13:21:00.000Z,1.0000024914445145,12540368003.616964,70.8939,0.0065116,0.01561266,-0.00156059,-0.01452898,-0.01656614,-0.00042644,28906205267.71215,1.1388,28906205267.71,,2024-03-05T13:21:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,2024-03-05 13:21:53.593471
